group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Mysql repo reading with no cache layer.,,,,,891811.0,ns,33
Mysql repo reading with no cache layer.,,,,,1788653.0,ns,66
Mysql repo reading with no cache layer.,,,,,3028838.0,ns,99
Mysql repo reading with no cache layer.,,,,,5271099.0,ns,132
Mysql repo reading with no cache layer.,,,,,5119608.0,ns,165
Mysql repo reading with no cache layer.,,,,,5486138.0,ns,198
Mysql repo reading with no cache layer.,,,,,7830634.0,ns,231
Mysql repo reading with no cache layer.,,,,,7574263.0,ns,264
Mysql repo reading with no cache layer.,,,,,9647417.0,ns,297
Mysql repo reading with no cache layer.,,,,,10452086.0,ns,330
Mysql repo reading with no cache layer.,,,,,10589491.0,ns,363
Mysql repo reading with no cache layer.,,,,,11288247.0,ns,396
Mysql repo reading with no cache layer.,,,,,12013628.0,ns,429
Mysql repo reading with no cache layer.,,,,,13299059.0,ns,462
Mysql repo reading with no cache layer.,,,,,13545476.0,ns,495
Mysql repo reading with no cache layer.,,,,,14406114.0,ns,528
Mysql repo reading with no cache layer.,,,,,15692926.0,ns,561
Mysql repo reading with no cache layer.,,,,,16330897.0,ns,594
Mysql repo reading with no cache layer.,,,,,17387713.0,ns,627
Mysql repo reading with no cache layer.,,,,,18666644.0,ns,660
Mysql repo reading with no cache layer.,,,,,22600543.0,ns,693
Mysql repo reading with no cache layer.,,,,,20966342.0,ns,726
Mysql repo reading with no cache layer.,,,,,21398371.0,ns,759
Mysql repo reading with no cache layer.,,,,,23794519.0,ns,792
Mysql repo reading with no cache layer.,,,,,23769340.0,ns,825
Mysql repo reading with no cache layer.,,,,,25295178.0,ns,858
Mysql repo reading with no cache layer.,,,,,26722120.0,ns,891
Mysql repo reading with no cache layer.,,,,,27171033.0,ns,924
Mysql repo reading with no cache layer.,,,,,27722418.0,ns,957
Mysql repo reading with no cache layer.,,,,,27269258.0,ns,990
Mysql repo reading with no cache layer.,,,,,29109144.0,ns,1023
Mysql repo reading with no cache layer.,,,,,29725417.0,ns,1056
Mysql repo reading with no cache layer.,,,,,30632202.0,ns,1089
Mysql repo reading with no cache layer.,,,,,31946309.0,ns,1122
Mysql repo reading with no cache layer.,,,,,31951234.0,ns,1155
Mysql repo reading with no cache layer.,,,,,33148573.0,ns,1188
Mysql repo reading with no cache layer.,,,,,35185761.0,ns,1221
Mysql repo reading with no cache layer.,,,,,35216552.0,ns,1254
Mysql repo reading with no cache layer.,,,,,35770563.0,ns,1287
Mysql repo reading with no cache layer.,,,,,39324986.0,ns,1320
Mysql repo reading with no cache layer.,,,,,41091566.0,ns,1353
Mysql repo reading with no cache layer.,,,,,38516239.0,ns,1386
