group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Mysql repo reading with no cache layer.,,,,,818355.0,ns,39
Mysql repo reading with no cache layer.,,,,,1521114.0,ns,78
Mysql repo reading with no cache layer.,,,,,2185793.0,ns,117
Mysql repo reading with no cache layer.,,,,,3287914.0,ns,156
Mysql repo reading with no cache layer.,,,,,4578567.0,ns,195
Mysql repo reading with no cache layer.,,,,,5019282.0,ns,234
Mysql repo reading with no cache layer.,,,,,5476369.0,ns,273
Mysql repo reading with no cache layer.,,,,,6568328.0,ns,312
Mysql repo reading with no cache layer.,,,,,8326553.0,ns,351
Mysql repo reading with no cache layer.,,,,,14279617.0,ns,390
Mysql repo reading with no cache layer.,,,,,12544871.0,ns,429
Mysql repo reading with no cache layer.,,,,,11485513.0,ns,468
Mysql repo reading with no cache layer.,,,,,12748200.0,ns,507
Mysql repo reading with no cache layer.,,,,,12911258.0,ns,546
Mysql repo reading with no cache layer.,,,,,12933210.0,ns,585
Mysql repo reading with no cache layer.,,,,,16228246.0,ns,624
Mysql repo reading with no cache layer.,,,,,17972981.0,ns,663
Mysql repo reading with no cache layer.,,,,,17727831.0,ns,702
Mysql repo reading with no cache layer.,,,,,16569698.0,ns,741
Mysql repo reading with no cache layer.,,,,,17108812.0,ns,780
Mysql repo reading with no cache layer.,,,,,18099769.0,ns,819
Mysql repo reading with no cache layer.,,,,,20635985.0,ns,858
Mysql repo reading with no cache layer.,,,,,20883049.0,ns,897
Mysql repo reading with no cache layer.,,,,,22293381.0,ns,936
Mysql repo reading with no cache layer.,,,,,20372313.0,ns,975
Mysql repo reading with no cache layer.,,,,,22601485.0,ns,1014
Mysql repo reading with no cache layer.,,,,,25658157.0,ns,1053
Mysql repo reading with no cache layer.,,,,,27363771.0,ns,1092
Mysql repo reading with no cache layer.,,,,,29892657.0,ns,1131
Mysql repo reading with no cache layer.,,,,,27999469.0,ns,1170
Mysql repo reading with no cache layer.,,,,,29416027.0,ns,1209
Mysql repo reading with no cache layer.,,,,,30667623.0,ns,1248
Mysql repo reading with no cache layer.,,,,,34651301.0,ns,1287
Mysql repo reading with no cache layer.,,,,,41054207.0,ns,1326
Mysql repo reading with no cache layer.,,,,,42803159.0,ns,1365
Mysql repo reading with no cache layer.,,,,,51268627.0,ns,1404
Mysql repo reading with no cache layer.,,,,,47838978.0,ns,1443
Mysql repo reading with no cache layer.,,,,,41572183.0,ns,1482
Mysql repo reading with no cache layer.,,,,,37437670.0,ns,1521
Mysql repo reading with no cache layer.,,,,,39284470.0,ns,1560
Mysql repo reading with no cache layer.,,,,,38427302.0,ns,1599
Mysql repo reading with no cache layer.,,,,,40649474.0,ns,1638
Mysql repo reading with no cache layer.,,,,,46973425.0,ns,1677
Mysql repo reading with no cache layer.,,,,,39721797.0,ns,1716
Mysql repo reading with no cache layer.,,,,,40316947.0,ns,1755
Mysql repo reading with no cache layer.,,,,,38927905.0,ns,1794
Mysql repo reading with no cache layer.,,,,,39919292.0,ns,1833
Mysql repo reading with no cache layer.,,,,,42748232.0,ns,1872
Mysql repo reading with no cache layer.,,,,,44334977.0,ns,1911
Mysql repo reading with no cache layer.,,,,,41768743.0,ns,1950
Mysql repo reading with no cache layer.,,,,,46427261.0,ns,1989
Mysql repo reading with no cache layer.,,,,,53847798.0,ns,2028
Mysql repo reading with no cache layer.,,,,,47446792.0,ns,2067
Mysql repo reading with no cache layer.,,,,,57713836.0,ns,2106
Mysql repo reading with no cache layer.,,,,,50916470.0,ns,2145
Mysql repo reading with no cache layer.,,,,,53807374.0,ns,2184
Mysql repo reading with no cache layer.,,,,,51957674.0,ns,2223
Mysql repo reading with no cache layer.,,,,,51281864.0,ns,2262
Mysql repo reading with no cache layer.,,,,,53663061.0,ns,2301
Mysql repo reading with no cache layer.,,,,,55690201.0,ns,2340
Mysql repo reading with no cache layer.,,,,,54637998.0,ns,2379
Mysql repo reading with no cache layer.,,,,,58898902.0,ns,2418
Mysql repo reading with no cache layer.,,,,,59461838.0,ns,2457
Mysql repo reading with no cache layer.,,,,,56402847.0,ns,2496
Mysql repo reading with no cache layer.,,,,,55574026.0,ns,2535
Mysql repo reading with no cache layer.,,,,,57053040.0,ns,2574
Mysql repo reading with no cache layer.,,,,,59346199.0,ns,2613
Mysql repo reading with no cache layer.,,,,,59567337.0,ns,2652
Mysql repo reading with no cache layer.,,,,,69218261.0,ns,2691
Mysql repo reading with no cache layer.,,,,,65463263.0,ns,2730
Mysql repo reading with no cache layer.,,,,,63655947.0,ns,2769
Mysql repo reading with no cache layer.,,,,,64135325.0,ns,2808
Mysql repo reading with no cache layer.,,,,,64631120.0,ns,2847
Mysql repo reading with no cache layer.,,,,,68125731.0,ns,2886
Mysql repo reading with no cache layer.,,,,,66471454.0,ns,2925
Mysql repo reading with no cache layer.,,,,,65600676.0,ns,2964
Mysql repo reading with no cache layer.,,,,,70377956.0,ns,3003
Mysql repo reading with no cache layer.,,,,,71675723.0,ns,3042
Mysql repo reading with no cache layer.,,,,,72854407.0,ns,3081
Mysql repo reading with no cache layer.,,,,,73259257.0,ns,3120
Mysql repo reading with no cache layer.,,,,,71869745.0,ns,3159
Mysql repo reading with no cache layer.,,,,,77863730.0,ns,3198
Mysql repo reading with no cache layer.,,,,,74881270.0,ns,3237
Mysql repo reading with no cache layer.,,,,,76717882.0,ns,3276
Mysql repo reading with no cache layer.,,,,,81168496.0,ns,3315
Mysql repo reading with no cache layer.,,,,,79392391.0,ns,3354
Mysql repo reading with no cache layer.,,,,,83888751.0,ns,3393
Mysql repo reading with no cache layer.,,,,,80651188.0,ns,3432
Mysql repo reading with no cache layer.,,,,,83284662.0,ns,3471
Mysql repo reading with no cache layer.,,,,,82706900.0,ns,3510
Mysql repo reading with no cache layer.,,,,,75555116.0,ns,3549
Mysql repo reading with no cache layer.,,,,,82313167.0,ns,3588
Mysql repo reading with no cache layer.,,,,,85008502.0,ns,3627
Mysql repo reading with no cache layer.,,,,,83822229.0,ns,3666
Mysql repo reading with no cache layer.,,,,,84071338.0,ns,3705
Mysql repo reading with no cache layer.,,,,,100071722.0,ns,3744
Mysql repo reading with no cache layer.,,,,,89903684.0,ns,3783
Mysql repo reading with no cache layer.,,,,,88414589.0,ns,3822
Mysql repo reading with no cache layer.,,,,,93448720.0,ns,3861
Mysql repo reading with no cache layer.,,,,,97990308.0,ns,3900
